,DRUG, UTERUS, OVERIES,   CERVIX,BREAST,VAGINA,MENSTRUATION, LEUCORRHOEA,Unnamed: 8,FLOW NATURE,  FIBROIDS, ASSOCIATED SYMPTOMS, EXTERMITIES,BACK,MILK, ORGANS ASSOCIATE        , PREGNANCY,LABOR, SUPPRESSION, MIND, ERUPTION,GENITALS,MENOPAUSE,ABORTION,PREGNENCY,AMENORRHOEA,CLIMACTERIC,URETHRA,WORSE,BETTER,ABDOMEN,DYSMENORRHOEA,Unnamed: 32,METRORRHAGIA,Unnamed: 34,PELVIS,NIGHT,DAY,LOCHIA,SEXUAL,DISEASE,SENSATION,FEVER,STERILITY,CIRCULATION,MENORRHAGE,Unnamed: 46,NON RELATED,NON RELATED.1,HEADACHE,0CCIPIT,BRAIN,FOREHEAD,Unnamed: 5,TEMPROL,Unnamed: 7,VERTEX,MODALITY,VERTIGO1,VOMITING,OTHERORGANS,HEAD POSITION,NOSE,FACE,EAR,ASSOCIATED SYMPTOMS,TEETH,Unnamed: 19,EYE,Unnamed: 21,MIND,STOOL,FEMALE,SCALP,VERTIGO2,TONGUE,Unnamed: 31,SLEEP,THROAT,HEART,Unnamed: 36,Unnamed: 37,SWEAT,STOMACH,EXTERMITIES,GLANDS,OCCIPUT,LIMBS,MUSCLES,BONES,VEINS,SCIATICA,SPINE,SKIN,SHOULDER,SCAPULA,CLAVICLE,UPPER LIMB,UPPER ARM,ELBOW,FOREARM,WRIST,PALMS,HANDS,FINGERS,NAILS,LOINS,LOWER LIMBS,SCIATICA.1,HIPS,THIGHS,KNEES,LEGS,CALF,ANKLES,HEEL,FOOTS,TOES,SOLES,JOINTS  ,LIGAMENTS,PAINS,SENSATIONS,Unnamed: 45,WALK,PAIN,NEUROLGIA,AXILLAE,PARALYSIS,Unnamed: 56,Unnamed: 57,KIDNEY,CHEST,NECK,DORSAL,LUMBAR,SACRUM,COCCYX,BLADDER,BONE,ASSOCIATE SYMPTOMS,MUSCLES.1,SHOULDERS, DISEASE,TENDON
10,Aloe,"uterus feel heavy,can not walk much on that account",,,,,menses too early too profuse,,,,,,,,,"bearing pain in rectum, worse standing during menses",,"labor like pain lion,extend down leg",,,,,,,,,Climacteric bleeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Alumen,tendency induration neck  uterus and mammary glands,,,,"chr yellow vaginal discharge,apthous patches in vagina",menses watery,,,,,,,,,,,,,,,,,,,,,chr gonorrhoe yellow little lumps along urethra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Alumina,,,,,,menses too early short scanty pale followed great exhaustion,leucorrhoea acrid profuse transparent ropy with burning worse during day worse afte menses,,,,,,,,,,,,,,,,,,,,,,better by washing with cold water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ambra Grisea,,,,,,menses too early,profuse bluish leucorrhoea worse at night,,discharge between periods every little accident,,,,,,itching pudendum with sore and swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Ammonium Carb,,,,,,menses too frequent profuse early copious  clotted,leucorrhoea burning acrid watery,,,,Aversion to other sex,colicky pain  hard difficult stool with fatigue yawn chilliness,,,itching swelling burning pudendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AmmoniumMuriaticum,,,,,,menses too early too free dark clotted flow more at night,leucorrhoea like white egg with pain navel umbilacal region brown slimy after urination,,,,,,,,,pain as if sprained in left side abdomen during pregnency,,,,,,,,,,,,,,diarrhoea green mucus stool and pain navel umbilacal region during menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Amyl Nitosum,,,,,,,,,,,after pain haemorrhage associated with facial flushing,,,,,,,,,,,,,,,climacteric headache flushes heat anxiety palipitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Anacardium,,,,,,menses scanty,leucorrhoea with sorness itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Antimonium Crudum,,"feel pressure in pelvis, tender in ovarian area",,,,"before menses toothache,menses too early ,profuse","leucorrhoea w atery,acrid,lumpy",,,,,,,,,,,menses suppressed from cold bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ApisMellifica,,ovaritis worse in right,,,,bearing down asif menses were to appear,,,,,,,,,"oedema of labia,better by cold water",,,menses suppressed with cerebral and head symptoms esp young girls,,,,,,,,,,,,great tenderness over abdomen and uterus,dysmenorrhoea with sever ovarian pain,,"Metrorrhagia profuse,heavy abdomen,faint,stinging pain,sense tightness",,"Ovarian tumor,metritis with stinging pains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Apium Graveolens,,sharp sticking pains in both ovary area,,nipples tender or pain,,,,,,,,,,,,,,,,,,,,,,,,,"better left bending over,by lying left side with leg flexed,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Apocynum Cannabinum,,,,,,,,,,,,,,,,,,,,,,,,,amenorrhoea with bloating,"bleeding ,hamorrhages change of life,blood expelled in large clots",,,,,,,"metrorrhage with nausea,faint depression",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Aquilegia,,,,,,"menses scanty, dull painfull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nightly increase more pressure in right lumbar area,region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Aralia Racemosa,,,,,,,"leucorrhoea acrid,foul smelling,pressing down pain",,,,,,,,,,,menses suppressed,,,,,,,,,,,,,,,,,,,,Lochia suppressed with tympanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AraneaDiadema,,,,,,menses too early too copious,,,,,,,lumbo abdominal neurolgia,,,,,,,,,,,,,,,,,distention abdomen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ArgemoneMexicana,,,,,,,,,,,,,,,,,,menses suppressed,,,,,,,,,,,,,,,,,,,,,diminished sexual desire with weakness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Argentum Metalicum,"prolapse womb,uterus,eroded spongy cervix","ovary feel too large,pain left ovary",,,,,"leucorrhoea foul,excoriating",,,,,uterine disease with pain joints limbs,,,,,,,,,,,,,,"climacteric bleeding,haemorrhage",,,"sore feeling through out abdomen,worse jarring",,,,,,,,,,,"palliative scirrhus of uterus, cancer, uterine disease",bearing down pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ArgenticumNitricum,"uterine bleed haemorrhage,two weeks after menses",painfull affect left ovary,,,,gastrolgia at beginning menses,"leucorrhoea profuse with erosion cervix,bleed eaily",,,,,,,,intense spasm chest muscle,,,,,,,,,,,nervous erythism at change of life,,,,,,,,,,,,,Orgasm at night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Arnica,uterine bleed haemorrhage from mechanical injury after coition,,,,,,,,,,,,,,,feel asif foetus were lying crosswise,"bruised parts after labor,violent after pains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Arsenicum album,,burning ovarian area region,,,,menses too profuse too soon,"leucorrhoea acrid,burning offensive thin",,,,"pain as from red hot wires,worse least exertion,great fatigue",,,,,,,,,,,,,,,,,,better warm room,,,,metrorrhageia,,stitching pain in pelvis extend down thigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Artemisia Vulgaris,"violent uterus contraction,spasm during menses",,,,,"profuse menses,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Arundo,,,,,"desires with vaginal pruritis,or itch",menses too early and profuse,,,,,neurolgic pain from face to shoulders and pubis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Asfoetida,,,,breast mammae turgid with milk in unimpregnated,,,,,,,,,,dificient milk with over sensitiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Asarum Europum,,,,,,"menses too early,long lasting",leucorrhoea tenecious yellow,,,,,,violent pain in small back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AsteriasRubens,,,,"breast swell and pain in breast,worse left breast",,,,,colic and other sufferings cease or stop with appearance flow,,,"pain down left arm to fingers,worse motion",,,ulcer breast with sharp pains  piercing scapula,,,,,,,,,,,,,,,,,,,,,,,,excitement sexual instinct with nervous agitation,ulceration breast esp left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Aurum Metallicum,"uterus enlarged,prolapsed,sterility",,,,"vagina great sensitiveness, vaginismus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"uterus prolapse,vaginusmus, sterility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AvenaSativa,,,,,,,,,,,,,,,,,,,,,,,,,Amenorrhoea and dysmenorrhoea with weakcirculation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Badiaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,metrorrhagia worse night feel enlargement head,,,,,,,cancer breast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Baptisia,,,,,,menses too erly too profuse,,,,,,,,,,,,,,,,,"miscarriage or abortion from mental depression,shock,watching,low fever",,,,,,,,,,,,,,,"lochia acrid,fetid",,,,"Puerpearl fever,low fever",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Baryta Carb,,,,,,menses scanty,,,,,"before menses pain stomach,small back",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Belladona,,,,breast feel heavy hard red tumors pain worse lying down,dry heat vagina,bright red too early too profuse haemorrhage  or bleed hot,,,,,"badly smelling haemorrhages or bleeding,hot gushes blood",,,,"mastitis pain,throbbing,redness streaks radiate from nipple",,labor pain come and go suddenly,,,,,,,,,,,,,,,,,,"dragging around lions,pain sacrum, cutting pain hip to hip",,,"menses and lochia very offensive and hot,  diminished lochia",,,sensitive force downward asif all viscera protrude at genitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BellisPerennis,"uterus feel sore,asif squeezed",,,breast and uterus engorged,,,,,,,,,,,vericose veins in pregnency,"during pregnency inability or can not, to walk",,,,,,,,,,,,,,abdominal muscles lame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BerberiesVulgaris,,neurolgia ovaries and vagina,,,"pinch constiction mons veneris,vaginusmus",menses scanty gray mucus,leucorrhoea greyish mucus with painfull urinary symptoms,,,,"contractio tenderness vagina,burning soreness vagina",,,,,,,,,,,,,,,,,,,"pain in kidney and chilliness,pain down thighs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BoricumAcidum,,,,,"vagina cold,asif packed with ice",,,,,,,,,,"frequent urination with burning,tenesmus",,,,,,,,,,,climacteric flushings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Borax,,,,"in nursing,pain in opposite breast",sensation distention clitoris with sticking,"menses too soon,profuse ",leucorrhoea like white an egg,,,,,,,galactorrhoea,"with menses gripping,nausea,pain stomach extend to small back ",,labor pain with frequent erectation,,,pruritis or itching vulva and eczema,,,,,,,,,,,membranous dysmenorrhoea,,,,,,,,,,sensation asif warm water flowing in leucorrhoea,,"sterility,favours easy conception",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bovista,,paraovarian cysts,,,,"menses too early,profus, worse at night",leucorrhoea acrid thick tough greenish follow menses,,traces menses between between menstruation,,diarrhoea before and during menses,,,,,,,,,,,,,,,,,,,,,,metrorrhagia,,soreness pubes during menses,,,,,,can not bear  tight clothing around waist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Bromium,,swelling ovaries,,"tumor in breast with stitching pain,worse left",,menses too early too profuse with membranous shreds,,,,,"sharp shooting pain in left breast, worse pressure",,,,stitching pain from breast axillae,,,,low spirited before menses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bryonia,,"stitch pain ovaries from deep inspiration,sensitive touch",,"breast hot,painfull,hard,abscess,pain in breast at menses",,menses too early too profuse worse motion with tearing pain in legs,,,,,vicarious discharge or splitting headache,pain right ovary asif extend extend to thigh,,milk fever,frequent bleeding nose at appearance  menses,,,suppressed,,,,,,,,,,,,"irregular menses with gastric symptoms,ovaritis",,,,,intermenstrual pain with great abdominal and pelvic soreness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bufo,"tumors, polyp uterus or womb",burning ovaries and uterus,"ulceration cervix,offensive  bloody discharge",induration  mammary gland,,menses too early copious clots bloody discharge at other times,watery leucorrhoea,,,,epilepsy at the time of menses,pain run  into legs,,"bloody milk,milk leg",palliative cancer mammae,,,,excitement with epileptic attack,,,,,,,,,,,,,,,,,,,,,"cancer, tumor, polyp,epilepsy",,,,Veins swollen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,CactusGrandiflorus,constriction uterine region and ovaries,pulsating pain in uterus and ovaries,,,vaginusmus,"menses early,dark,pitch like",,,,,"cease on lying down,with heart symptoms",,,,,,,,,,,,,,,,,,,,dysmenorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,CaladiumSeguinum,cramping pain in uterus at night,,,,,,,,,,voluptuousness,,,,,prurits vulva and vagina during pregnency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Calcarea Acetica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,membranaous dysmenorrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,CalcareaArsenicum,cancer uterus burning pain uterus and vagina,,,,,,offensive bloody leucorrhoea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cancer uterus and vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,CalcareaCarb,"uterus cutting pain during menses,uterine polypi",,,"breast hot swell,tender,swollen before menses",,"menses too early,profuse,long with vertigo,toothache,cold damp feet","leucorrhoea milky,burning,itching parts before after menses in little girls",,,,"difficiant lactation,distended breast in lymphatic women",,,"milk abundant,disaggreable  to child","before menses headache,colic,chill,leucorrhoea,",,,,least excitement cause return menses associated symptoms,,,,,,,,,,,,,,,,,,,,"increased sexual desire,easy conception",,,,"much sweat external genitals,sterility copious menses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
