AlfaAlfa,painINleftSideHead,OccDullHeavyInAboveEYE,,,,,,,WorseTowardEvening,,,,,,,,violentHeadache,,,,,,,,,,,,,,,,,,,,,,,,AngusturaVera,"itching along back,twitching jerking along back, bend backward",,,,,,,"pain cervicle vertebrae,drawing neck",,,,pain spine nape of neck and sacrum worse on pressure,,,,,,,,,,,,,,,,,,,,AngusturaVera,"itching along back,twitching jerking along back, bend backward",,,,,,,"pain cervicle vertebrae,drawing neck",,,,pain spine nape of neck and sacrum worse on pressure,,,,,,,,,,,,,,,,,,,,Ambra Grisea,,,,,,menses too early,profuse bluish leucorrhoea worse at night,,discharge between periods every little accident,,,,,,itching pudendum with sore and swelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlliumCepa,,,,catarrhalAcheMostlyForehead,,,,,WorseWarmRoomEvening,,,,,,threadLikePAINinFace,,CEASEmensesFlowAppearsStopFlow,,,,,,,,,,,,,,,,,,,,,,,,Antimonium Crudum,,,,,,,,itching and pain neck and back,,,,,,,,,,,,,,,,,,,,,,,,Antimonium Crudum,,,,,,,,itching and pain neck and back,,,,,,,,,,,,,,,,,,,,,,,,Ammonium Carb,,,,,,menses too frequent profuse early copious  clotted,leucorrhoea burning acrid watery,,,,Aversion to other sex,colicky pain  hard difficult stool with fatigue yawn chilliness,,,itching swelling burning pudendum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlliumSativa,,,,,,heavyPulsationINtemples,,,,,,,,,,CatarrhalDeafness,,,,,,,,,,,,,,,,,,,,,,,,,Antimonium Tartaricum,,,,,,,,,,,,violent pain in sacro lumbar region,sensation of heavy weight at coccyx dragging downward all the time,,,,,,,slightest effort to move cause retching and coldcalmy sweat,twitching muscles,,limbs tremulous,,,,,,,,,Antimonium Tartaricum,,,,,,,,,,,,violent pain in sacro lumbar region,sensation of heavy weight at coccyx dragging downward all the time,,,,,,,slightest effort to move cause retching and coldcalmy sweat,twitching muscles,,limbs tremulous,,,,,,,,,AmmoniumMuriaticum,,,,,,menses too early too free dark clotted flow more at night,leucorrhoea like white egg with pain navel umbilacal region brown slimy after urination,,,,,,,,,pain as if sprained in left side abdomen during pregnency,,,,,,,,,,,,,,diarrhoea green mucus stool and pain navel umbilacal region during menses,,,,,,,,,,,,,,,,,,
Aloe,dullPressivePainWorseHeat,,,AcheAboveFHheavyEyePartlyClose,,,,,,,,,,,,,lumbagoUterineIntestinalAlternate headache,,,,,,,disinclieMentalLabour,headacheAfterStool,,alternateuterineAffect,,,,,,,,,,,,,,ArgentumNitricum,much pain,spine sensitive with nocturnal or active at night pains,,,,,,,,,,,,,,,,,,,,,,,Paraplegia posterior spinal sclerosis,,,,,,,ArgentumNitricum,much pain,spine sensitive with nocturnal or active at night pains,,,,,,,,,,,,,,,,,,,,,,,Paraplegia posterior spinal sclerosis,,,,,,,Amyl Nitosum,,,,,,,,,,,after pain haemorrhage associated with facial flushing,,,,,,,,,,,,,,,climacteric headache flushes heat anxiety palipitation,,,,,,,,,,,,,,,,,,,,,,
Alumen,,,,,,,,burnPainTopHeadBetterPressureHand,,WithWeakPitStomach,,,,,,,Alopecia,,,,,,,,,,,Alopecia,,,,,,,,,,,,,ArsenicumAlbum,weakness small of back pain burning back,,,,,,,,,,,,,,,,,,,,,,,drawing in of shoulders,,,,,,,,ArsenicumAlbum,weakness small of back pain burning back,,,,,,,,,,,,,,,,,,,,,,,drawing in of shoulders,,,,,,,,Anacardium,,,,,,menses scanty,leucorrhoea with sorness itching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumina,throbbingWithConstipate,,,PressureFHasFromTightHat,,,,,,StitchBurnWorseMorningBetterBreakfast,,,,,,,,,,inabilitWalkExceptEyesOpen,,,,,,,,HairfallScalpNUMBitch,,,,,,,,,,,,,AsarumEuropum,,,,,,,,paralytic pain in muscles of nape of neck,,,,,,,,,,,,,,,,,,weakness with staggering,,,,,,AsarumEuropum,,,,,,,,paralytic pain in muscles of nape of neck,,,,,,,,,,,,,,,,,,weakness with staggering,,,,,,Antimonium Crudum,,"feel pressure in pelvis, tender in ovarian area",,,,"before menses toothache,menses too early ,profuse","leucorrhoea w atery,acrid,lumpy",,,,,,,,,,,menses suppressed from cold bath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AluminaSilicate,painheadBetterHeatPerspire,,,,,,,,,,,congestionBrain,,freqCoryzaSwellAndUlcerateNose,,,,,,painEyeFlickering,,,,congestBrain,,,,,,,,,,,,,,,,,Badiaga,pain in small back hips lower limbs,,,muscles and skin sore asif beaten,,,,stitches nape scapula,,,,,,,,,,,,,,,,,,,,,,,,Badiaga,pain in small back hips lower limbs,,,muscles and skin sore asif beaten,,,,stitches nape scapula,,,,,,,,,,,,,,,,,,,,,,,,ApisMellifica,,ovaritis worse in right,,,,bearing down asif menses were to appear,,,,,,,,,"oedema of labia,better by cold water",,,menses suppressed with cerebral and head symptoms esp young girls,,,,,,,,,,,,great tenderness over abdomen and uterus,dysmenorrhoea with sever ovarian pain,,"Metrorrhagia profuse,heavy abdomen,faint,stinging pain,sense tightness",,"Ovarian tumor,metritis with stinging pains",,,,,,,,,,,,,
AmbraGrisea,,,,pressureFHwithMentalDepression,,,,,,withWeakINheadStomach,,tearingPainUpperhalfBRAIN,,EpistaxisEspINmorning,,hearingImpaired,rushBloodHeadWhenListenMusic,ProfuseBleedFromTEETH,,,,,,,,senileDizzy,,HairfallScalp,,,,,,,,,,,,,Baptisia,,,,,,,,neck tired,,,,,,,,,,,,,,,,,,,,,,,,Baptisia,,,,,,,,neck tired,,,,,,,,,,,,,,,,,,,,,,,,Apium Graveolens,,sharp sticking pains in both ovary area,,nipples tender or pain,,,,,,,,,,,,,,,,,,,,,,,,,"better left bending over,by lying left side with leg flexed,",,,,,,,,,,,,,,,,,,,
AmmniacumDerma,catarrhalHAdueCloseFrontalSinus,,,dueCloseFrotalSinusHeadache,,,,,,,,headacheDueCloseFrontalSinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BarytaAcetica,,,,,,,,,,,lumbago or lower back pain and rheumatic,,,,,,,,,,pain in muscle and joints,,,,paralysis,,,,,,,BarytaAcetica,,,,,,,,,,,lumbago or lower back pain and rheumatic,,,,,,,,,,pain in muscle and joints,,,,paralysis,,,,,,,Apocynum Cannabinum,,,,,,,,,,,,,,,,,,,,,,,,,amenorrhoea with bloating,"bleeding ,hamorrhages change of life,blood expelled in large clots",,,,,,,"metrorrhage with nausea,faint depression",,,,,,,,,,,,,,,
AmmoniumBnzoicum,heavyStupid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BarytaCarb,,weakness spine,swelling glands in nape of occiput,,,,,fatty tumor about neck,,bruised pain between scapulae,,stiffness in sacrum,,,,,,,,,,,,,,,,,,,,BarytaCarb,,weakness spine,swelling glands in nape of occiput,,,,,fatty tumor about neck,,bruised pain between scapulae,,stiffness in sacrum,,,,,,,,,,,,,,,,,,,,Aquilegia,,,,,,"menses scanty, dull painfull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nightly increase more pressure in right lumbar area,region",,,,,,,,,,,,
AmmoniumBromatum,,,,,,,,,,,,,,thickNasalDischargeSneezing,,feelingBandAboveEar,,,,,,,,cerebralCongest,,,,,,,,,,,,,,,,,Belladona,,,,,,,,stiffness neck pain nape asif it would break,pressure on dorsel region most painful,,lumbago low back with pains in hips and thighs,,,,,,,,,,,,,,,,swelling glands neck,,,,,Belladona,,,,,,,,stiffness neck pain nape asif it would break,pressure on dorsel region most painful,,lumbago low back with pains in hips and thighs,,,,,,,,,,,,,,,,swelling glands neck,,,,,Aralia Racemosa,,,,,,,"leucorrhoea acrid,foul smelling,pressing down pain",,,,,,,,,,,menses suppressed,,,,,,,,,,,,,,,,,,,,Lochia suppressed with tympanities,,,,,,,,,,
AmmoniumCarb,shockThroughHead,,,pulsateFHpressureWarmRoomBetter,,,,,pressureWarmRoomBetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BenzoicAcidum,,pressure on spinal column,,,dull pain in region kidenys worse wine,,,,,,,coldness sacrum,,,,,,,,,,,,,,,,,,,,BenzoicAcidum,,pressure on spinal column,,,dull pain in region kidenys worse wine,,,,,,,coldness sacrum,,,,,,,,,,,,,,,,,,,,AraneaDiadema,,,,,,menses too early too copious,,,,,,,lumbo abdominal neurolgia,,,,,,,,,,,,,,,,,distention abdomen,,,,,,,,,,,,,,,,,,
AmmoniumIodatum,dullacheEspYoungPeople,,,,,,,,,vertigoMenieresDisease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BerberisVulgaris,,after oparation pain lumbar region sharp pain follow  course of circumflex nerve to bladder with frequent urination,,,sticking pain kidneys region radiating spreading around abdomen hips groins,,,stitches in neck and back worse respiration,,,lumbago or low back pain,,,,stitches from kidney to bladder,,,,numb bruised sensation,tearing sticking with stiffness making raising difficult involve hips nates limbs  with numbness,,,metatarsus metacarpus feel sprained,,,,,,,,,BerberisVulgaris,,after oparation pain lumbar region sharp pain follow  course of circumflex nerve to bladder with frequent urination,,,sticking pain kidneys region radiating spreading around abdomen hips groins,,,stitches in neck and back worse respiration,,,lumbago or low back pain,,,,stitches from kidney to bladder,,,,numb bruised sensation,tearing sticking with stiffness making raising difficult involve hips nates limbs  with numbness,,,metatarsus metacarpus feel sprained,,,,,,,,,ArgemoneMexicana,,,,,,,,,,,,,,,,,,menses suppressed,,,,,,,,,,,,,,,,,,,,,diminished sexual desire with weakness,,,,,,,,,
AmmoniumMur,,,,,,,,,,,,,,,,,,,,,,,,feeFullCompressedWorseMorning,,,,hairfallDandruffItching,,,,,,,,,,,,,Bovista,,,,,,,,,,,,,intolerable itches in tip of coccyx,,,,,,,,,,,,,,,,,,,Bovista,,,,,,,,,,,,,intolerable itches in tip of coccyx,,,,,,,,,,,,,,,,,,,Argentum Metalicum,"prolapse womb,uterus,eroded spongy cervix","ovary feel too large,pain left ovary",,,,,"leucorrhoea foul,excoriating",,,,,uterine disease with pain joints limbs,,,,,,,,,,,,,,"climacteric bleeding,haemorrhage",,,"sore feeling through out abdomen,worse jarring",,,,,,,,,,,"palliative scirrhus of uterus, cancer, uterine disease",bearing down pain,,,,,,,
AmmoniumPhos,,,,,,,,,,,,,,sneezExcessRunNOSEeyesOnlyMorning,,,,,,,,,,,,,,,,,,,,,,,,,,,Bryonia,stitches stiffness small of back,,,,,,,painful stiffness nape of neck,,,,,,,,,,,,from hard water and sudden changes weather,,,,,,,,,,,,Bryonia,stitches stiffness small of back,,,,,,,painful stiffness nape of neck,,,,,,,,,,,,from hard water and sudden changes weather,,,,,,,,,,,,ArgenticumNitricum,"uterine bleed haemorrhage,two weeks after menses",painfull affect left ovary,,,,gastrolgia at beginning menses,"leucorrhoea profuse with erosion cervix,bleed eaily",,,,,,,,intense spasm chest muscle,,,,,,,,,,,nervous erythism at change of life,,,,,,,,,,,,,Orgasm at night,,,,,,,,,
AmmoniumPicratum,periodicBilliousHeadacheSangunaria,periodicNeurolgiaRtSideOcciput,,,,,,,,onRising,,boringPinToEarOrbitJaw,,,,boringPainEarOrbitJaw,,,,boringPainEarOrbitJaw,,,,,,,,,,,,,,,,,,,,,Cahinca,,,,,pain in the region kidneys better lying bent backward,,,,,,,,,,,,,,,general fatgue,,,,,,,,,,,,Cahinca,,,,,pain in the region kidneys better lying bent backward,,,,,,,,,,,,,,,general fatgue,,,,,,,,,,,,Arnica,uterine bleed haemorrhage from mechanical injury after coition,,,,,,,,,,,,,,,feel asif foetus were lying crosswise,"bruised parts after labor,violent after pains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmylNtrosum,throbbing,,,,,,,,,,,,,,surgeBloodHeadFaceAsifBloodStartFromSkin,HypraemicThrbbing,,,,,,,,AnxietAsifSomethingMightHappenWantFreshAir,,flushFollowSweatClimacteric,,,,,,,,,,,,,,,CalcareaArsenica,violent backache throbbing drives out bed,,,,,,,pain stiffness near nape neck,,,,,,,,,,,,,,,,,,,,,,,,CalcareaArsenica,violent backache throbbing drives out bed,,,,,,,pain stiffness near nape neck,,,,,,,,,,,,,,,,,,,,,,,,Arsenicum album,,burning ovarian area region,,,,menses too profuse too soon,"leucorrhoea acrid,burning offensive thin",,,,"pain as from red hot wires,worse least exertion,great fatigue",,,,,,,,,,,,,,,,,,better warm room,,,,metrorrhageia,,stitching pain in pelvis extend down thigh,,,,,,,,,,,,,
Anacardium,pressingPainFHoccTempVertex,pressPainDuringMeal,,pressPainBetterDuringMeal,,preePainBetterDuringMeal,,pressPainDuringMeal,betterDuringMeal,vertigo,,,,,,,,,,,,,,,,,,itchLittleBoils,,,,,,,,,,,,,CalcareaCarbonica,weakness small of back  ,,,,renal colic pain,,,nape neck stiff rigid,curvature dorsal vertebrae,pain between shoulder blades impeding obstruting breathing,rheumatism lumbar region,,,,,,,,,,,,,,,,,pain asif sprained scarcely rise overlifting,,,,CalcareaCarbonica,weakness small of back  ,,,,renal colic pain,,,nape neck stiff rigid,curvature dorsal vertebrae,pain between shoulder blades impeding obstruting breathing,rheumatism lumbar region,,,,,,,,,,,,,,,,,pain asif sprained scarcely rise overlifting,,,,Artemisia Vulgaris,"violent uterus contraction,spasm during menses",,,,,"profuse menses,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anatherum,painPierceBrainPointedArrows,,PainPierceBrainPointedArrowWorseAfterNoon,,,,,,worseAfterNoon,,,scalpEyeNoseTongueSalivaCopious,,boilsTumorTipNosse,,,,,,wartLikeGrowthOnEyebrows,,,,pressPainAsFromPlugWorseAfterMentalExert,,pressPainAsplugWorseMentalExertion,,HerpesUlcerTumor,,FissureAsifEdgesCutCopiousSalivation,,,,,,,,,,,Calcarea Fluorica,pain lower part back burning,,,,,,,,,,chronic lumbago,,,,,osseous bone tumors,worse beginning to move,better continued movements,,,,,,,,,,,,,,Calcarea Fluorica,pain lower part back burning,,,,,,,,,,chronic lumbago,,,,,osseous bone tumors,worse beginning to move,better continued movements,,,,,,,,,,,,,,Arundo,,,,,"desires with vaginal pruritis,or itch",menses too early and profuse,,,,,neurolgic pain from face to shoulders and pubis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhalonium,AcheDisturbedVision,,,,,,,,,,,,,,,ExaggerateReverbarateOrdenarySounds,briliantMovingColorObjectPupilsDilate,,,pupilsDliateVertigoBrainTired,,,,,,,,,,,,,,,,,,,,,Calcarea Phosphorica,,,,,,,,,,,,soreness sacro iliac symphysis asif broken,,,,,,,,rheumatic pain from draught air with stiff dull head,,,,,,,,,,,,Calcarea Phosphorica,,,,,,,,,,,,soreness sacro iliac symphysis asif broken,,,,,,,,rheumatic pain from draught air with stiff dull head,,,,,,,,,,,,Asfoetida,,,,breast mammae turgid with milk in unimpregnated,,,,,,,,,,dificient milk with over sensitiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AngusturaVera,headacheHeatFace,,,,,PainTempMuscleOpenJaws,,,,,,faceTempJawChewMUSCLE,,,faceJawMassetor,,crampPainZygoArcMassetorFatiguePainArticulateJaw,,,,,,,,,,,,,,,,,,,,,,,,CastaneaVesca,,,,,,,,,,,lumbago weak back can hardly striighten up,,,,,,,,,,,,,,,,,,,,,CastaneaVesca,,,,,,,,,,,lumbago weak back can hardly striighten up,,,,,,,,,,,,,,,,,,,,,Asarum Europum,,,,,,"menses too early,long lasting",leucorrhoea tenecious yellow,,,,,,violent pain in small back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
